22-07-2022_15-59,espritz,DP02342,46275_1,False,True,91
22-07-2022_15-59,espritz,DP02348,46275_2,False,True,136
22-07-2022_15-59,espritz,DP02354,46275_3,False,True,115
22-07-2022_15-59,espritz,DP02361,46275_4,False,True,146
22-07-2022_15-59,espritz,DP02362,46275_5,False,True,114
22-07-2022_15-59,espritz,DP02364,46275_6,False,True,150
22-07-2022_15-59,espritz,DP02366,46275_7,False,True,393
22-07-2022_15-59,espritz,DP02376,46275_8,False,True,427
22-07-2022_15-59,espritz,DP02377,46275_9,False,True,386
22-07-2022_15-59,espritz,DP02393,46275_10,False,True,444
22-07-2022_15-59,espritz,DP02401,46275_11,False,True,405
22-07-2022_15-59,espritz,DP02405,46275_12,False,True,165
22-07-2022_15-59,espritz,DP02411,46275_13,False,True,195
22-07-2022_15-59,espritz,DP02418,46275_14,False,True,325
22-07-2022_15-59,espritz,DP02421,46275_15,False,True,149
22-07-2022_15-59,espritz,DP02445,46275_16,False,True,216
22-07-2022_15-59,espritz,DP02448,46275_17,False,True,216
22-07-2022_15-59,espritz,DP02449,46275_18,False,True,131
22-07-2022_15-59,espritz,DP02450,46275_19,False,True,165
22-07-2022_15-59,espritz,DP02457,46275_20,False,True,118
22-07-2022_15-59,espritz,DP02465,46275_21,False,True,171
22-07-2022_15-59,espritz,DP02468,46275_22,False,True,205
22-07-2022_15-59,espritz,DP02470,46275_23,False,True,163
22-07-2022_15-59,espritz,DP02472,46275_24,False,True,198
22-07-2022_15-59,espritz,DP02532,46275_25,False,True,291
22-07-2022_15-59,espritz,DP02535,46275_26,False,True,215
22-07-2022_15-59,espritz,DP02537,46275_27,False,True,417
22-07-2022_15-59,espritz,DP02542,46275_28,False,True,775
22-07-2022_15-59,espritz,DP02543,46275_29,False,True,168
22-07-2022_15-59,espritz,DP02544,46275_30,False,True,209
22-07-2022_15-59,espritz,DP02546,46275_31,False,True,359
22-07-2022_15-59,espritz,DP02553,46275_32,False,True,187
22-07-2022_15-59,espritz,DP02556,46275_33,False,True,227
22-07-2022_15-59,espritz,DP02557,46275_34,False,True,293
22-07-2022_15-59,espritz,DP02558,46275_35,False,True,238
22-07-2022_15-59,espritz,DP02559,46275_36,False,True,428
22-07-2022_15-59,espritz,DP02560,46275_37,False,True,467
22-07-2022_15-59,espritz,DP02567,46275_38,False,True,663
22-07-2022_15-59,espritz,DP02571,46275_39,False,True,275
22-07-2022_15-59,espritz,DP02582,46275_40,False,True,153
22-07-2022_15-59,espritz,DP02585,46275_41,False,True,159
22-07-2022_15-59,espritz,DP02595,46275_42,False,True,123
22-07-2022_15-59,espritz,DP02601,46275_43,False,True,264
22-07-2022_15-59,espritz,DP02604,46275_44,False,True,315
22-07-2022_15-59,espritz,DP02606,46275_45,False,True,158
22-07-2022_15-59,espritz,DP02612,46275_46,False,True,441
22-07-2022_15-59,espritz,DP02627,46275_47,False,True,606
22-07-2022_15-59,espritz,DP02628,46275_48,False,True,415
22-07-2022_15-59,espritz,DP02649,46275_49,False,True,362
22-07-2022_15-59,espritz,DP02658,46275_50,False,True,157
22-07-2022_15-59,espritz,DP02671,46275_51,False,True,581
22-07-2022_15-59,espritz,DP02674,46275_52,False,True,77
22-07-2022_15-59,espritz,DP02681,46275_53,False,True,122
22-07-2022_15-59,espritz,DP02686,46275_54,False,True,407
22-07-2022_15-59,espritz,DP02688,46275_55,False,True,167
22-07-2022_15-59,espritz,DP02691,46275_56,False,True,446
22-07-2022_15-59,espritz,DP02695,46275_57,False,True,132
22-07-2022_15-59,espritz,DP02699,46275_58,False,True,232
22-07-2022_15-59,espritz,DP02718,46275_59,False,True,138
22-07-2022_15-59,espritz,DP02720,46275_60,False,True,97
22-07-2022_15-59,espritz,DP02728,46275_61,False,True,178
22-07-2022_15-59,espritz,DP02731,46275_62,False,True,461
22-07-2022_15-59,espritz,DP02732,46275_63,False,True,761
22-07-2022_15-59,espritz,DP02734,46275_64,False,True,300
22-07-2022_15-59,espritz,DP02743,46275_65,False,True,424
22-07-2022_15-59,espritz,DP02752,46275_66,False,True,408
22-07-2022_15-59,espritz,DP02753,46275_67,False,True,370
22-07-2022_15-59,espritz,DP02757,46275_68,False,True,304
22-07-2022_15-59,espritz,DP02759,46275_69,False,True,309
22-07-2022_15-59,espritz,DP02762,46275_70,False,True,330
22-07-2022_15-59,espritz,DP02767,46275_71,False,True,748
22-07-2022_15-59,espritz,DP02797,46275_72,False,True,228
22-07-2022_15-59,espritz,DP02807,46275_73,False,True,455
22-07-2022_15-59,espritz,DP02810,46275_74,False,True,803
22-07-2022_15-59,espritz,DP02818,46275_75,False,True,419
22-07-2022_15-59,espritz,DP02821,46275_76,False,True,174
22-07-2022_15-59,espritz,DP02827,46275_77,False,True,366
22-07-2022_15-59,espritz,DP02829,46275_78,False,True,281
22-07-2022_15-59,espritz,DP02837,46275_79,False,True,90
22-07-2022_15-59,espritz,DP02841,46275_80,False,True,94
22-07-2022_15-59,espritz,DP02844,46275_81,False,True,364
22-07-2022_15-59,espritz,DP02845,46275_82,False,True,187
22-07-2022_15-59,espritz,DP02846,46275_83,False,True,369
22-07-2022_15-59,espritz,DP02849,46275_84,False,True,69
22-07-2022_15-59,espritz,DP02851,46275_85,False,True,219
22-07-2022_15-59,espritz,DP02866,46275_86,False,True,772
22-07-2022_15-59,espritz,DP02867,46275_87,False,True,100
22-07-2022_15-59,espritz,DP02870,46275_88,False,True,93
22-07-2022_15-59,espritz,DP02872,46275_89,False,True,221
22-07-2022_15-59,espritz,DP02873,46275_90,False,True,135
22-07-2022_15-59,espritz,DP02874,46275_91,False,True,182
22-07-2022_15-59,espritz,DP02891,46275_92,False,True,403
22-07-2022_15-59,espritz,DP02902,46275_93,False,True,115
22-07-2022_15-59,espritz,DP02904,46275_94,False,True,104
22-07-2022_15-59,espritz,DP02905,46275_95,False,True,596
22-07-2022_15-59,espritz,DP02906,46275_96,False,True,119
